Month,Avg Light Intensity Value,Avg Monthly Metro Card Count,Number of incidents: Other,Number of incidents: Police/Medical/Person on Track,Number of incidents: Signals,Number of incidents: Stations and Structure,Number of incidents: Subway Car,Number of incidents: Track,Total Number of incidents
2015-01,56,60427,220,736,882,4,60,560,2462
2015-02,69,65266,705,180,864,24,12,616,2401
2015-03,62,69635,72,360,396,0,24,1386,2238
2015-04,56,68613,60,220,336,4,48,950,1618
2015-05,52,68884,96,286,616,48,8,690,1744
2015-06,53,69926,12,832,384,40,4,330,1602
2015-07,48,68329,60,588,1102,4,40,936,2730
2015-08,46,65691,96,286,1176,60,40,216,1874
2015-09,44,67171,70,162,864,16,72,494,1678
2015-10,45,71759,60,630,800,4,8,960,2462
2015-11,46,68291,12,364,675,112,30,448,1641
2015-12,48,68266,60,364,816,30,112,616,1998
2016-01,57,61806,242,640,468,16,60,900,2326
2016-02,54,65395,84,336,312,4,80,560,1376
2016-03,50,68342,60,252,832,4,12,408,1568
2016-04,50,68640,40,748,546,12,84,570,2000
2016-05,49,69889,12,338,714,0,126,828,2018
2016-06,47,69633,50,520,616,112,72,1054,2424
2016-07,46,66391,70,390,952,60,112,429,2013
2016-08,45,65692,24,252,416,16,60,680,1448
2016-09,44,68077,231,507,1344,4,72,288,2446
2016-10,43,68864,48,588,960,40,32,336,2004
2016-11,44,67749,112,476,1240,12,90,512,2442
2016-12,49,66336,70,572,1000,40,96,560,2338
2017-01,52,52255,390,468,800,84,12,736,2490
2017-02,51,63191,504,338,950,0,40,768,2600
2017-03,52,60626,720,408,816,70,50,270,2334
2017-04,47,62587,180,336,986,84,70,216,1872
2017-05,49,63484,112,546,1008,160,60,200,2086
2017-06,47,62909,220,234,918,162,126,456,2116
2017-07,46,63979,144,280,600,12,60,220,1316
2017-08,45,64170,84,408,440,40,32,608,1612
2017-09,43,61714,72,532,630,40,84,520,1878
2017-10,42,62939,30,608,540,48,60,672,1958
2017-11,45,60172,70,264,714,32,4,504,1588
2017-12,59,58933,126,288,1064,60,12,162,1712
2018-01,65,57490,1302,672,828,390,32,616,3840
2018-02,59,57638,60,416,644,60,0,312,1492
2018-03,58,58689,1024,570,616,20,40,280,2550
2018-04,53,60771,300,220,756,60,98,384,1818
2018-05,49,52156,160,312,1406,144,30,532,2584
2018-06,48,60110,84,504,656,128,72,288,1732
2018-07,44,63185,128,264,798,663,84,264,2201
2018-08,43,63792,50,180,1105,84,60,312,1791
2018-09,41,59435,30,250,640,128,40,112,1200
2018-10,41,62064,112,286,690,24,30,220,1362
2018-11,42,58554,198,396,780,30,50,240,1694
2018-12,43,57465,180,416,364,30,40,336,1366
2019-01,48,55878,416,220,408,16,60,160,1280
2019-02,54,56431,40,364,532,40,24,84,1084
2019-03,54,59030,286,384,312,24,24,84,1114
2019-04,53,64132,40,416,540,4,24,216,1240
2019-05,44,63745,160,448,374,4,144,12,1142
2019-06,44,64647,55,126,416,0,84,176,857
2019-07,43,62676,560,180,494,16,112,126,1488
2019-08,43,62360,40,242,242,12,12,220,768
2019-09,42,63862,48,264,288,12,40,4,656
2019-10,41,64118,18,126,288,40,40,96,608
2019-11,47,62209,16,264,408,0,4,60,752
2019-12,47,59923,216,220,330,12,24,126,928
2020-01,45,57040,144,240,160,0,12,70,626
2020-02,47,58043,60,240,264,4,12,70,650
2020-03,46,33605,24,144,24,0,4,60,256
2020-04,46,5090,490,4,4,0,0,0,498
2020-05,43,6123,0,72,4,0,0,0,76
2020-06,43,9718,0,40,60,12,50,12,174
2020-07,43,13543,4,450,338,4,40,112,948
2020-08,43,15120,96,200,144,4,24,0,468
2020-09,41,17356,0,180,126,4,4,48,362
2020-10,40,18047,0,198,160,0,4,4,366
2020-11,45,16763,40,128,242,4,4,4,422
2020-12,55,0,96,242,520,4,60,12,934
